candidate_id,rank,score,reasoning
CAND_0068811,1,0.99,Applied ML Engineer with 8y experience; ranking/retrieval/search experience and vector search (Pinecone/Qdrant/Weaviate).
CAND_0010257,2,0.9516,"Senior Data Scientist with 6y experience; ranking/retrieval/search experience and vector search (Qdrant/Milvus/Opensearch), though 120d notice."
CAND_0064326,3,0.8977,Search Engineer with 8y experience; ranking/retrieval/search experience and vector search (Pinecone/Weaviate/Milvus).
CAND_0079387,4,0.8484,Ai Engineer with 7y experience - ranking/retrieval/search experience and vector search (Faiss/Pinecone/Opensearch).
CAND_0011162,5,0.8464,"Strong fit: Recommendation Systems Engineer with 6y experience, with ranking/retrieval/search experience and vector search (Faiss/Pinecone/Weaviate)."
CAND_0050454,6,0.8369,Ai Engineer with 7y experience; ranking/retrieval/search experience and vector search (Faiss/Qdrant/Elasticsearch).
CAND_0098846,7,0.8323,"Strong fit: Ai Engineer with 8y experience, with ranking/retrieval/search experience and vector search (Pinecone/Qdrant)."
CAND_0069905,8,0.8022,"Strong fit: Applied ML Engineer with 7y experience, with ranking/retrieval/search experience and vector search (Faiss/Pinecone/Weaviate)."
CAND_0017960,9,0.7648,"Strong fit: Recommendation Systems Engineer with 8y experience, with ranking/retrieval/search experience and vector search (Faiss/Pinecone/Qdrant)."
CAND_0083879,10,0.7082,"Strong fit: Machine Learning Engineer with 7y experience, with ranking/retrieval/search experience and vector search (Faiss/Milvus)."
CAND_0070398,11,0.7005,"Machine Learning Engineer with 7y experience; ranking/retrieval/search experience and vector search (Faiss/Elasticsearch), though 120d notice."
CAND_0042029,12,0.6961,"Strong fit: Senior Data Scientist with 6y experience, with ranking/retrieval/search experience and vector search (Faiss/Pinecone/Weaviate)."
CAND_0014440,13,0.6783,Recommendation Systems Engineer with 6y experience - ranking/retrieval/search experience and vector search (Faiss/Qdrant/Milvus).
CAND_0041669,14,0.6737,"Strong fit: Recommendation Systems Engineer with 8y experience, with ranking/retrieval/search experience and vector search (Faiss/Pinecone/Qdrant)."
CAND_0075574,15,0.6698,Machine Learning Engineer with 6y experience - ranking/retrieval/search experience and vector search (Pinecone/Qdrant/Weaviate).
CAND_0045250,16,0.6611,Applied ML Engineer with 7y experience - ranking/retrieval/search experience and vector search (Qdrant/Milvus).
CAND_0093912,17,0.6506,Senior Data Scientist with 5y experience; ranking/retrieval/search experience and vector search (Faiss/Milvus/Elasticsearch).
CAND_0027801,18,0.6484,"Nlp Engineer with 7y experience; ranking/retrieval/search experience and vector search (Faiss/Milvus/Opensearch), though 120d notice."
CAND_0041610,19,0.6421,Recommendation Systems Engineer with 7y experience; ranking/retrieval/search experience and vector search (Pinecone/Opensearch/Elasticsearch).
